district,at_large,first_name,last_name,gender,ethnicity,date_of_birth,entered_office,term_end,title,party,email,phone,address,twitter_url,facebook_url,photo_url
1,no,Mark,Squilla,male,white-american,,2012-01-02,,councilor,democrat,mark.squilla@phila.gov,215-686-3458,"1401 John F Kennedy Blvd, Room 332, Philadelphia, PA 19107",https://twitter.com/CMMarkSquilla,https://www.facebook.com/councilmanmarksquilla/,http://phlcouncil.com/wp-content/uploads/2016/12/15781896594_23e0c42d29_o-1024x683.jpg
2,no,Kenyatta,Johnson,male,african-american,,2012-01-02,,councilor,democrat,kenyatta.johnson@phila.gov,215-686-3412,"1401 John F Kennedy Blvd, Room 580, Philadelphia, PA 19107",https://twitter.com/CouncilmanKJ,https://www.facebook.com/CouncilmanKenyattaJohnson/,http://phlcouncil.com/wp-content/uploads/2015/11/blavetatstrichards1.jpg
3,no,Jannie,Blackwell,female,african-american,,1992-01-06,,councilor,democrat,jannie.l.blackwell@phila.gov,215-686-3418,"1401 John F Kennedy Blvd, Room 408, Philadelphia, PA 19107",,https://www.facebook.com/JannieBlackwell/,http://phlcouncil.com/wp-content/uploads/2016/01/Blackwell4-1024x731.jpg
4,no,Curtis,Jones,male,african-american,,2008-01-08,,councilor,democrat,curtis.jones@phila.gov,215-686-3416,"1401 John F Kennedy Blvd, Room 404, Philadelphia, PA 19107",https://twitter.com/Mr4thDistrict,https://www.facebook.com/Fourthdist/,http://phlcouncil.com/wp-content/uploads/2016/09/DSC_0959-1024x711.jpg
5,no,Darrell,Clarke,male,african-american,,1999-05-18,,council-president,democrat,darrell.clarke@phila.gov,215-686-3442,"1401 John F Kennedy Blvd, Room 313, Philadelphia, PA 19107",https://twitter.com/Darrell_Clarke,https://www.facebook.com/CouncilmanDarrellLClarke/,http://phlcouncil.com/wp-content/uploads/2015/11/Clarkepodium.jpg
6,no,Bobby,Henon,male,white-american,1969-01-11,2012-01-02,,majority-leader,democrat,bobby.henon@phila.gov,215-686-3444,"1401 John F Kennedy Blvd, Room 484, Philadelphia, PA 19107",https://twitter.com/BobbyHenon,https://www.facebook.com/CouncilmanHenon/,http://phlcouncil.com/wp-content/uploads/2016/01/henon1-1024x768.jpg
7,no,Maria,Quinones-Sanchez,female,hispanic-american,1968-11-21,2008-01-07,,councilor,democrat,maria.q.sanchez@phila.gov,215-686-3448,"1401 John F Kennedy Blvd, Room 330, Philadelphia, PA 19107",https://twitter.com/MariaQSanchez,https://www.facebook.com/MariaQSanchez/,http://phlcouncil.com/wp-content/uploads/2015/12/1775.jpg
8,no,Cindy,Bass,female,african-american,1967-11-04,2008-01-07,,councilor,democrat,cindy.bass@phila.gov,215-686-3424,"1401 John F Kennedy Blvd, Room 312, Philadelphia, PA 19107",https://twitter.com/cindybassphilly,https://www.facebook.com/cindybassphilly,http://phlcouncil.com/wp-content/uploads/2016/09/IMG_5184-1024x640.jpg
9,no,Cherelle,Parker,female,african-american,,2016-01-04,,councilor,democrat,cherelle.parker@phila.gov,215-686-3454,"1401 John F Kennedy Blvd, Room 577, Philadelphia, PA 19107",https://twitter.com/CherelleParker9,https://www.facebook.com/CouncilwomanCherelleLParker,http://phlcouncil.com/wp-content/uploads/2016/01/Parker2-1024x681.jpg
10,no,Brian,O'Neill,male,white-american,1949-12-23,1980-01-07,,minority-leader,republican,brian.oneill@phila.gov,215-686-3422,"1401 John F Kennedy Blvd, Room 562, Philadelphia, PA 19107",https://twitter.com/ONeill4NEPhilly,https://www.facebook.com/CouncilmanONeill/,http://phlcouncil.com/wp-content/uploads/2016/12/13739364_1778518579055402_1124829891_n.jpg
,yes,Blondell,Reynolds Brown,female,african-american,1952-10-16,2000-01-03,,majority-whip,democrat,blondell.reynolds.brown@phila.gov,215-686-3438,"1401 John F Kennedy Blvd, Room 581, Philadelphia, PA 19107",https://twitter.com/CouncilwomanBRB,https://www.facebook.com/CouncilwomanBRB,http://phlcouncil.com/wp-content/uploads/2016/01/brB2-1024x683.jpg
,yes,Allan,Domb,male,white-american,,2016-01-04,,councilor,democrat,allan.domb@phila.gov,215-686-3415,"1401 John F Kennedy Blvd, Room 316, Philadelphia, PA 19107",https://twitter.com/TeamDomb,https://www.facebook.com/CouncilmanAllanDomb/,http://phlcouncil.com/wp-content/uploads/2016/01/Domb1-1024x680.jpg
,yes,Derek,Green,male,african-american,,2016-01-04,,councilor,democrat,derek.green@phila.gov,215-686-3450,"1401 John F Kennedy Blvd, Room 594, Philadelphia, PA 19107",https://twitter.com/CouncilmanDerek,https://www.facebook.com/councilmanderekgreen/,http://phlcouncil.com/wp-content/uploads/2016/01/Green2-1024x683.jpg
,yes,William,Greenlee,male,white-american,,2006-11-27,,deputy-majority-whip,democrat,bill.greenlee@phila.gov,215-686-3446,"1401 John F Kennedy Blvd, Room 508, Philadelphia, PA 19107",https://twitter.com/BillGreenlee215,https://www.facebook.com/greenlee.atlarge,https://www.flickr.com/photos/billgreenlee15/5330480288/in/album-72157625761624130/
,yes,Helen,Gym,female,asian-american,,2016-01-04,,councilor,democrat,helen.gym@phila.gov,215-686-3420,"1401 John F Kennedy Blvd, Room 592, Philadelphia, PA 19107",https://twitter.com/HelenGymAtLarge,https://www.facebook.com/CouncilwomanHelenGym/,http://phlcouncil.com/wp-content/uploads/2016/01/HelenGymSSjpg-1024x683.jpg
,yes,David,Oh,male,asian-american,1960-03-08,2012-01-02,,minority-whip,republican,david.oh@phila.gov,215-686-3452,"1401 John F Kennedy Blvd, Room 319, Philadelphia, PA 19107",https://twitter.com/DavidOhPhilly,https://www.facebook.com/DavidOhPhilly/,http://phlcouncil.com/wp-content/uploads/2016/01/INAUGURATION-251-1024x680.jpg
,yes,Al,Taubenberger,male,white-american,1953-08-16,2016-01-04,,councilor,republican,al.taubenberger@phila.gov,215-686-3440,"1401 John F Kennedy Blvd, Room 582, Philadelphia, PA 19107",https://twitter.com/AlTaubenberger,https://www.facebook.com/councilmantaubenberger/,http://phlcouncil.com/wp-content/uploads/2016/01/Taubenberger2-1024x686.jpg
,,James,Kenney,male,white-american,1958-08-07,2016-01-04,,mayor,democrat,james.kenney@phila.org,215-686-2181,"1401 John F Kennedy Blvd, Room 215, Philadelphia, PA 19107",https://twitter.com/PhillyMayor,https://www.facebook.com/PhillyMayor/,
,,R. Seth,Williams,male,african-american,1967-01-02,2010-01-04,,district-attorney,democrat,,215-686-8000,"3 South Penn Square, Philadelphia, PA 19107",https://twitter.com/DASethWilliams,,
